Tag No.,Measurement Flag,Measured Value,Estimate,Sigma,Gross Error Flag,Unit
Natural Gas from GAIL
FU_W3,0,430.27,481.124664415,4.2234,2,KMOl/HR
TU_W3,2,185.0,185.0,0.5,2,C
PU_W3,2,33.1,33.1,0.25,2,kg/cm2
Outlet of LT shift Reactor or Hotside inlet of E-3 
FU_LT1,0,451.23,425.954396724,4.5123,2,KMOl/HR
TI4180,2,188.0,188.0,1.8,2,C
PU_LT1,2,24.5,24.5,0.25,2,kg/cm2
CO_LT1,1,0.0024,0.00185718287007,2.4e-05,0,xfrac
N2_LT1,1,0.0005,0.000684398537449,5e-06,0,xfrac
CO2_LT1,1,0.1874,0.190842011758,0.001874,0,xfrac
H2_LT1,1,0.7608,0.758463669091,0.007608,0,xfrac
H2O_LT1,0,0.2653,0.298770005601,0.0026,2,xfrac
CH4_LT1,1,0.0489,0.0481527377434,0.000489,0,xfrac
feed to steam drum or FG boiler
FI3110,1,3652.9,4711.24395657,55.3982080254,-1,KG/HR
TU_W4,2,50.0,50.0,0.5,2,C
PU_W4,2,25.0,25.0,0.25,2,kg/cm2
Steam from Steam Drum or FG boiler
FU_ST4,0,187.2,261.735775365,2.0294,2,KMOL/HR
TU_ST4,2,240.0,240.0,2.0,2,C
PU_ST4,2,32.4,32.4,0.3,2,kg/cm2
Export Steam
FI3106,1,4323.33,4310.31272482,65.430240114,0,KG/HR
TU_ST5,2,240.0,240.0,1.8,2,C
PIC3114,2,32.4,32.4,0.3239,2,kg/cm2
Inlet to suher heater
FU_ST6,0,249.32,241.66284637,1.8214,2,KMOL/HR
TU_ST6,2,460.03,460.03,2.0,2,C
PU_ST6,2,31.58,31.58,0.3,2,kg/cm2
Combined Stream from Rg and FG Boilers
FU_ST8,0,422.33,481.124664415,4.2233,2,KMOL/HR
TU_ST8,2,190.0,190.0,2.0,2,C
PU_ST8,2,30.0,30.0,0.3,2,kg/cm2
Super heated steam from super heater
FU_ST7,0,249.12,241.66284637,2.29,2,KMOL/HR
TIC3123,2,512.3,512.3,4.6,2,C
PI3116,2,31.58,31.58,0.3158,2,kg/cm2
Outlet of E-6-1
FU_ST6a,0,249.32,241.66284637,1.8214,2,KMOL/HR
TI3126,2,460.03,460.03,2.0,2,C
PU_ST6a,2,31.58,31.58,0.3,2,kg/cm2
ByPass to E-7-1
FU_ST7a,0,249.12,80.5975536819,2.29,2,KMOL/HR
TU_ST7a,2,512.3,512.3,4.6,2,C
PU_ST7a,2,31.58,31.58,0.3158,2,kg/cm2
Inlet to E-7-1
FU_ST7b,0,249.12,161.065292688,2.29,2,KMOL/HR
TU_ST7b,2,512.3,512.3,4.6,2,C
PU_ST7b,2,31.58,31.58,0.3158,2,kg/cm2
Outlet of E-7-1
FU_ST7c,0,249.12,161.065292688,2.29,2,KMOL/HR
TU_ST7c,2,512.3,512.3,4.6,2,C
PU_ST7c,2,31.58,31.58,0.3158,2,kg/cm2
Atmospheric air to air pre-heater
FU_AR1,0,413.76,384.22732174,4.13,2,KMOL/HR
TU_AR1,2,30.0,30.0,0.3,2,C
PU_AR1,2,1.03,1.03,0.01,2,kg/cm2
Pre-heated air to the furnace
FIC3109,1,11549.63,11081.115959,99.9895263702,0,KG/HR
TI3131,2,270.9,270.9,2.85,2,C
PU_AR2,2,1.03,1.03,0.01,2,kg/cm2
Air-Natural gas- off gas mixture to furnace for burning
FU_AN1,0,424.86,506.115932367,4.2,2,KMOL/HR
TU_AN1,2,60.0,60.0,0.6,2,C
PU_AN1,2,1.03,1.03,0.01,2,kg/cm2
N2_AN1,0,0.65,0.600220714241,0.0065,2,xfrac
H2_AN1,0,0.1,0.074355257173,0.001,2,xfrac
O2_AN1,0,0.16,0.15942540514,0.0016,2,xfrac
CH4_AN1,0,0.06,0.050691730474,0.0006,2,xfrac
C2H6_AN1,0,0.0491,0.00121027433545,0.000491,2,xfrac
C3H8_AN1,0,0.01362,0.000219824068734,0.0001362,2,xfrac
CO_AN1,0,0.001,0.00109604465878,1e-05,2,xfrac
CO2_AN1,0,0.13,0.112657161986,0.0013,2,xfrac
C4H10_AN1,0,0.006309,0.000102512935495,6.309e-05,2,xfrac
C5H12_AN1,0,0.00089,1.25152933692e-05,8.9e-06,2,xfrac
C6H14_AN1,0,0.000466,8.55969491048e-06,4.66e-06,2,xfrac
Off gas from PSA unit
FIC3113,1,2724.86,2834.77757087,124.671711748,0,KG/HR
TU_LT4,2,25.0,25.0,0.25,2,C
PIC3156,2,25.0,25.0,0.25,2,kg/cm2
AI3103B,1,0.33,0.342806420021,0.0033,0,xfrac
CO_LT4,1,0.0066,0.00505318870441,6.6e-05,0,xfrac
CH4_LT4,1,0.1378,0.131018261246,0.001378,0,xfrac
N2_LT4,1,0.0015,0.0018621725488,1.5e-05,0,xfrac
CO2_LT4,1,0.5241,0.51925995748,0.005241,0,xfrac
Off gas from PSA unit (Pseudo Stream to handle pressure drop)
FU_LT4a,0,2724.86,2834.77757087,27.24,2,KG/HR
TU_LT4a,2,25.0,25.0,0.25,2,C
PU_LT4a,2,0.25,0.25,0.0025,2,kg/cm2
H2_LT4a,0,0.2981,0.342806420021,0.0029,2,xfrac
CO_LT4a,0,0.0071,0.00505318870441,7e-05,2,xfrac
CH4_LT4a,0,0.1478,0.131018261246,0.0029,2,xfrac
N2_LT4a,0,0.0009,0.0018621725488,9e-06,2,xfrac
CO2_LT4a,0,0.5362,0.51925995748,0.0053,2,xfrac
Flue Gas from furnace
FU_FG1,0,424.0,487.541229423,4.2,2,KMOL/HR
TI3129,2,928.53,928.53,1.67,2,C
PIC3127,2,0.9,0.9,0.009,2,kg/cm2
H2O_FG1,0,0.2014,0.187788335727,0.002,2,xfrac
O2_FG1,1,0.0146,0.0146719053514,0.000146,0,xfrac
CO2_FG1,0,0.1691,0.174451396173,0.0016,2,xfrac
N2_FG1,0,0.608,0.623088362748,0.006,2,xfrac
Combined water from Separators and Fresh water make up
FU_W5,0,421.8091,481.124751735,2.35,2,KMOL/HR
TU_W5,2,30.0,30.0,0.5,2,C
PU_W5,2,25.0,25.0,0.25,2,kg/cm2
Hotside outlet of E-3
FU_LT2,0,418.0,425.954396724,4.18,2,KMOl/HR
TU_LT2,2,95.0,95.0,0.95,2,C
PU_LT2,2,25.7,25.7,0.25,2,kg/cm2
CO_LT2,0,0.0025,0.00130231233358,2.5e-05,2,xfrac
